gloss_en,freq,proper_usage,proper_count,nonproper_count,suggested_ko,notes
zebra,11,no,0,11,얼룩말,
Zebadiah,11,yes,11,0,스바댜,고유명사 음역/관습 표기 확인
Zaccur,11,yes,11,0,작굴,고유명사 음역/관습 표기 확인
whistling,11,no,0,11,휘파람 소리,
whelp,11,no,0,11,새끼,
what is sold,11,no,0,11,팔린 것,
weary,11,no,0,11,피곤한,
waste,11,no,0,11,황무,
virginity,11,no,0,11,처녀성,
Vashti,11,yes,11,0,와스디,고유명사 음역/관습 표기 확인
transplant,11,no,0,11,옮겨 심다,
tent camp,11,no,0,11,천막 진,
ten thousand,11,no,0,11,만,
Tabor,11,yes,11,0,다볼,고유명사 음역/관습 표기 확인
standing grain,11,no,0,11,서 있는 곡식,
Shebna,11,yes,11,0,셉나,고유명사 음역/관습 표기 확인
sated,11,no,0,11,배부른/만족한,
Sanballat,11,yes,11,0,산발랏,고유명사 음역/관습 표기 확인
right of first-born,11,no,0,11,장자의 권리,
raven,11,no,0,11,까마귀,
putrefy,11,no,0,11,부패하다,
ploughshare,11,no,0,11,쟁기날,
perversity,11,no,0,11,사악함/비뚤어짐,
pasturage,11,no,0,11,목초지,
overthrow,11,no,0,11,뒤엎다/타도하다,
opposition,11,no,0,11,반대,
Obed,11,yes,11,0,오벳,고유명사 음역/관습 표기 확인
Nahshon,11,yes,11,0,나손,고유명사 음역/관습 표기 확인
maggot,11,no,0,11,구더기,
madness,11,no,0,11,광기,
loins,11,no,0,11,허리,
kor,11,no,0,11,고르,
Kadesh Barnea,11,yes,11,0,가데스 바네아,고유명사 음역/관습 표기 확인
Jew,11,no,0,11,유대인,
Jeroham,11,yes,11,0,여로함,고유명사 음역/관습 표기 확인
Immer,11,yes,11,0,임메르,고유명사 음역/관습 표기 확인
hyssop,11,no,0,11,우슬초,
highest,11,no,0,11,지극히 높은,
heap stones,11,no,0,11,돌무더기를 쌓다,
head-place,11,no,0,11,머리맡,
Haran,11,yes,11,0,하란,고유명사 음역/관습 표기 확인
handful,11,no,0,11,한 줌,
groan,11,no,0,11,신음하다,
Gittite,11,no,0,11,Gittite 사람,
Gerar,11,yes,11,0,그랄,고유명사 음역/관습 표기 확인
folly,11,no,0,11,우매함,
female companion,11,no,0,11,여자 동무,
feed,11,no,0,11,먹이다,
excitement,11,no,0,11,흥분,
Er,11,yes,11,0,엘,고유명사 음역/관습 표기 확인
equipment,11,no,0,11,장비,
enclosure,11,no,0,11,울타리 둘러친 곳,
Eliel,11,yes,11,0,엘리엘,고유명사 음역/관습 표기 확인
dough,11,no,0,11,반죽,
Deborah,11,yes,11,0,드보라,고유명사 음역/관습 표기 확인
Dathan,11,yes,11,0,다단,고유명사 음역/관습 표기 확인
damage,11,no,0,11,손해/손상,
dainty,11,no,0,11,진미/별미,
clap hands,11,no,0,11,손뼉 치다,
Cherethite,11,no,0,11,그렛 사람,
chaff,11,no,0,11,쭉정이,
care,11,no,0,11,돌봄/염려,
butter,11,no,0,11,버터/응유,
bridle,11,no,0,11,재갈/굴레,
border,11,no,0,11,경계/가장자리,
Beor,11,yes,11,0,브올,고유명사 음역/관습 표기 확인
beaming eyes,11,no,0,11,빛나는 눈,
be thirsty,11,no,0,11,목마르다,
be ruddy,11,no,0,11,불그스름하다,
be presumptuous,11,no,0,11,주제넘다/오만하다,
be pleasing,11,no,0,11,기쁘게 하다/마음에 들다,
be new,11,no,0,11,새롭다,
be easy,11,no,0,11,쉬다/쉬운,
be dainty,11,no,0,11,까다롭다/고상하다,
back,11,no,0,11,등/뒤,
Azmaveth,11,yes,11,0,아스마웻,고유명사 음역/관습 표기 확인
attack,11,no,0,11,공격하다,
at ease,11,no,0,11,평안히/편히,
Aphek,11,yes,11,0,아벡,고유명사 음역/관습 표기 확인
Ammihud,11,yes,11,0,암미훗,고유명사 음역/관습 표기 확인
Aijalon,11,yes,11,0,아얄론,고유명사 음역/관습 표기 확인
Adar,11,yes,11,0,아달,고유명사 음역/관습 표기 확인
Adam,11,yes,11,0,아담,고유명사 음역/관습 표기 확인
Adaiah,11,yes,11,0,아다야,고유명사 음역/관습 표기 확인
abhor,11,no,0,11,혐오하다,
<mother of Dan Naphtali>,11,yes,11,0,<단·납달리의 어머니>,고유명사 음역/관습 표기 확인
young woman,10,no,0,10,젊은 여자,
wrap,10,no,0,10,44,
woof,10,no,0,10,씨실,
wild oxen,10,no,0,10,들소,
vulture,10,no,0,10,독수리,
vessel,10,no,0,10,그릇/용기,
Uzza,10,yes,10,0,웃사,고유명사 음역/관습 표기 확인
Uz,10,yes,10,0,우스,고유명사 음역/관습 표기 확인
Uri,10,yes,10,0,우리,고유명사 음역/관습 표기 확인
track,10,no,0,10,자취/길,
Topheth,10,yes,10,0,도벳,고유명사 음역/관습 표기 확인
topaz,10,no,0,10,황옥,
thirsty,10,no,0,10,목마른,
the Valley of Ben Hinnom,10,yes,10,0,힌놈의 아들 골짜기,고유명사 음역/관습 표기 확인
texture,10,no,0,10,결/조직,
teaching,10,no,0,10,가르침/교훈,
tattoo,10,no,0,10,문신,
tarry,10,no,0,10,지체하다,
take tenth,10,no,0,10,십일조를 떼다,
stumbling,10,no,0,10,걸림,
squeeze,10,no,0,10,짜다,
smoothness,10,no,0,10,매끄러움,
smitten,10,no,0,10,타격당한,
slope,10,no,0,10,비탈/경사,
sleeping,10,no,0,10,잠자는,
skip,10,no,0,10,뛰어넘다,
silence,10,no,0,10,침묵,
Shobal,10,yes,10,0,쇼발,고유명사 음역/관습 표기 확인
shank,10,no,0,10,정강이,
settings,10,no,0,10,받침/장식틀,
set ablaze,10,no,0,10,불붙이다,
seah,10,no,0,10,세아,
scarf,10,no,0,10,스카프/목도리,
saying,10,no,0,10,말/격언,
reveal,10,no,0,10,드러내다/계시하다,
release,10,no,0,10,해방/석방,
Rehum,10,yes,10,0,르훔,고유명사 음역/관습 표기 확인
reedy pool,10,no,0,10,갈대 연못,
Rapha,10,yes,10,0,라파,고유명사 음역/관습 표기 확인
Pedaiah,10,yes,10,0,브다야,고유명사 음역/관습 표기 확인
owl,10,no,0,10,올빼미,
Ophrah,10,yes,10,0,오브라,고유명사 음역/관습 표기 확인
Neco,10,yes,10,0,느고,고유명사 음역/관습 표기 확인
Nahash,10,yes,10,0,나하스,고유명사 음역/관습 표기 확인
Mishael,10,yes,10,0,미사엘,고유명사 음역/관습 표기 확인
mina,10,no,0,10,미나,
Memphis,10,yes,10,0,멤피스,고유명사 음역/관습 표기 확인
Mattithiah,10,yes,10,0,맛디다,고유명사 음역/관습 표기 확인
Mareshah,10,yes,10,0,마레사,고유명사 음역/관습 표기 확인
Maon,10,yes,10,0,마온,고유명사 음역/관습 표기 확인
Makkedah,10,yes,10,0,막게다,고유명사 음역/관습 표기 확인
lying down,10,no,0,10,누움/눕기,
lovely,10,no,0,10,사랑스러운,
longing,10,no,0,10,갈망,
long time,10,no,0,10,오랜 세월,
log,10,no,0,10,통나무,
left-hand,10,no,0,10,왼편,
lay waste,10,no,0,10,황폐케 하다,
labouring,10,no,0,10,수고하는,
Kiriath Arba,10,yes,10,0,기럇아르바,고유명사 음역/관습 표기 확인
kindness,10,no,0,10,인자/친절,
juice,10,no,0,10,즙,
Jeush,10,yes,10,0,여우스,고유명사 음역/관습 표기 확인
Jethro,10,yes,10,0,이두로,고유명사 음역/관습 표기 확인
Jehohanan,10,yes,10,0,여호하난,고유명사 음역/관습 표기 확인
jealous,10,no,0,10,질투하는,
Izhar,10,yes,10,0,이스할,고유명사 음역/관습 표기 확인
Ittai,10,yes,10,0,잇대,고유명사 음역/관습 표기 확인
inaction,10,no,0,10,무활동,
Hormah,10,yes,10,0,호르마,고유명사 음역/관습 표기 확인
helmet,10,no,0,10,투구,
hammered work,10,no,0,10,두들겨 만든 세공,
grow dim,10,no,0,10,희미해지다,
gleaning,10,no,0,10,이삭줍기,
girl friend,10,no,0,10,여자 친구,
Geshur,10,yes,10,0,그술,고유명사 음역/관습 표기 확인
Gera,10,yes,10,0,게라,고유명사 음역/관습 표기 확인
gather wood,10,no,0,10,나무를 모으다,
Gaal,10,yes,10,0,가알,고유명사 음역/관습 표기 확인
frost,10,no,0,10,서리,
fresh,10,no,0,10,신선한,
fourth part,10,no,0,10,4분의 1,
familiar,10,no,0,10,익숙한,
explain,10,no,0,10,설명하다,
ewe,10,no,0,10,암양,
evil report,10,no,0,10,악평/나쁜 소문,
Ebal,10,yes,10,0,에발,고유명사 음역/관습 표기 확인
disease,10,no,0,10,질병,
dignity,10,no,0,10,위엄/존귀,
desirables,10,no,0,10,귀한 것들,
delighting,10,no,0,10,기뻐하는,
decision,10,no,0,10,결정,
deaf,10,no,0,10,귀먹은,
crookedness,10,no,0,10,굽음,
copy,10,no,0,10,사본,
copper,10,no,0,10,구리,
cold,10,no,0,10,추위,
city,10,no,0,10,성읍,
Chaldaean,10,no,0,10,갈대아 사람,
captives,10,no,0,10,포로들,
broom,10,no,0,10,빗자루,
Binnui,10,yes,10,0,빈누이,고유명사 음역/관습 표기 확인
Bezalel,10,yes,10,0,브살렐,고유명사 음역/관습 표기 확인
Beth Shan,10,yes,10,0,벧산,고유명사 음역/관습 표기 확인
Belshazzar,10,yes,10,0,벨사살,고유명사 음역/관습 표기 확인
bell,10,no,0,10,방울,
be white,10,no,0,10,be white 사람,
be three,10,no,0,10,셋이 되다,
be happy,10,no,0,10,기뻐하다,
be extinguished,10,no,0,10,꺼지다,
be deep,10,no,0,10,깊다,
be astounded,10,no,0,10,경악하다,
barefoot,10,no,0,10,맨발의,
Baanah,10,yes,10,0,바아나,고유명사 음역/관습 표기 확인
Arpachshad,10,yes,10,0,아르박삿,고유명사 음역/관습 표기 확인
Arkite,10,no,0,10,Arkite 사람,
Araunah,10,yes,10,0,아라우나,고유명사 음역/관습 표기 확인
anoint,10,no,0,10,기름 붓다,
advance,10,no,0,10,전진하다,
<untranslatable>,10,no,0,10,번역 불가(문맥 의존),
<father of Laban>,10,yes,10,0,<라반의 아버지>,고유명사 음역/관습 표기 확인
Zibeon,9,yes,9,0,시브온,고유명사 음역/관습 표기 확인
Zabad,9,yes,9,0,자밧,고유명사 음역/관습 표기 확인
young ewe-lamb,9,no,0,9,어린 암양,
wormwood,9,no,0,9,쓴쑥,
whitewash,9,no,0,9,회칠하다,
whip,9,no,0,9,채찍,
watch-tower,9,no,0,9,망대/초소,
wander,9,no,0,9,방황하다/헤매다,
wafer,9,no,0,9,전병,
village,9,no,0,9,촌락/마을,
veil,9,no,0,9,베일/수건,
tumours,9,no,0,9,종기/종양,
Tubal,9,yes,9,0,두발,고유명사 음역/관습 표기 확인
tribute,9,no,0,9,조공,
treat violently,9,no,0,9,난폭하게 대하다/폭행하다,
thicket,9,no,0,9,덤불/숲,
Temanite,9,no,0,9,데만 사람,
straight,9,no,0,9,곧은/곧다,
sting,9,no,0,9,침/쏘다,
steed,9,no,0,9,준마,
spring-rain,9,no,0,9,봄비,
spittle,9,no,0,9,침,
Socoh,9,yes,9,0,소고,고유명사 음역/관습 표기 확인
slice,9,no,0,9,얇은 조각,
sleeping place,9,no,0,9,침소/잠자리,
Shunammite,9,no,0,9,수넴 사람/여인,
Shinar,9,yes,9,0,시날,고유명사 음역/관습 표기 확인
Sherebiah,9,yes,9,0,스레뱌,고유명사 음역/관습 표기 확인
Shelomith,9,yes,9,0,슬로밋,고유명사 음역/관습 표기 확인
Shebaniah,9,yes,9,0,스바냐,고유명사 음역/관습 표기 확인
Shaphat,9,yes,9,0,사밧,고유명사 음역/관습 표기 확인
Seth,9,yes,9,0,셋,고유명사 음역/관습 표기 확인
scar,9,no,0,9,흉터,
scaly mail,9,no,0,9,비늘 갑옷,
scale,9,no,0,9,비늘,
savoury food,9,no,0,9,별미/맛있는 음식,
running,9,no,0,9,달리기,
rage,9,no,0,9,격분/분노,
podium,9,no,0,9,연단,
plug,9,no,0,9,마개,
planting,9,no,0,9,심음/식재,
Pisgah,9,yes,9,0,비스가,고유명사 음역/관습 표기 확인
Philistia,9,yes,9,0,블레셋,고유명사 음역/관습 표기 확인
perfection,9,no,0,9,완전/완전함,
patch,9,no,0,9,기운 조각/패치,
pan,9,no,0,9,팬/평평한 냄비,
Ophel,9,yes,9,0,오벨,고유명사 음역/관습 표기 확인
Onan,9,yes,9,0,오난,고유명사 음역/관습 표기 확인
occupation,9,no,0,9,생업/직업,
night watch,9,no,0,9,야경/밤 경점,
Nehemiah,9,yes,9,0,느헤미야,고유명사 음역/관습 표기 확인
nation,9,no,0,9,민족,
Mushi,9,yes,9,0,무시,고유명사 음역/관습 표기 확인
murmuring,9,no,0,9,원망/불평,
moth,9,no,0,9,좀/나방,
Moloch,9,yes,9,0,몰렉,고유명사 음역/관습 표기 확인
Menahem,9,yes,9,0,므나헴,고유명사 음역/관습 표기 확인
march,9,no,0,9,행군하다,
Malluch,9,yes,9,0,말룩,고유명사 음역/관습 표기 확인
Maacathite,9,no,0,9,마아가 사람,
Luz,9,yes,9,0,루스,고유명사 음역/관습 표기 확인
lords,9,no,0,9,주들/영주들,
life preservation,9,no,0,9,생명 보존,
lead oxide,9,no,0,9,납분/납 가루,
lay snares,9,no,0,9,올무를 놓다,
lattice,9,no,0,9,창살/격자,
Korahite,9,no,0,9,고라 자손,
Kebar,9,yes,9,0,그발,고유명사 음역/관습 표기 확인
Kadmiel,9,yes,9,0,갓미엘,고유명사 음역/관습 표기 확인
junction,9,no,0,9,접합부/교차점,
joint,9,no,0,9,관절/이음부,
Jeremoth,9,yes,9,0,여레못,고유명사 음역/관습 표기 확인
Jerahmeel,9,yes,9,0,여라므엘,고유명사 음역/관습 표기 확인
Jehozadak,9,yes,9,0,여호사닥,고유명사 음역/관습 표기 확인
Jehonadab,9,yes,9,0,여호나답,고유명사 음역/관습 표기 확인
Jakin,9,yes,9,0,야긴,고유명사 음역/관습 표기 확인
Jahath,9,yes,9,0,야핫,고유명사 음역/관습 표기 확인
Jabin,9,yes,9,0,야빈,고유명사 음역/관습 표기 확인
Ishmaelite,9,no,0,9,이스마엘 사람,
incurable,9,no,0,9,불치의/고칠 수 없는,
incense-stand,9,no,0,9,향단/향궤,
hammered gold,9,no,0,9,두들긴 금,
grieve,9,no,0,9,슬퍼하다/괴로워하다,
go up,9,no,0,9,올라가다,
go down,9,no,0,9,내려가다,
gnat,9,no,0,9,모기/작은 벌레,
Gilboa,9,yes,9,0,길보아,고유명사 음역/관습 표기 확인
Gibeonite,9,no,0,9,기브온 사람,
ghosts,9,no,0,9,망령/유령,
Gedor,9,yes,9,0,그돌,고유명사 음역/관습 표기 확인
friend,9,no,0,9,친구/벗,
fork,9,no,0,9,갈고리/갈래,
ford,9,no,0,9,여울목,
forbid,9,no,0,9,금하다/금지하다,
floor,9,no,0,9,바닥/마룻바닥,
flood,9,no,0,9,홍수/범람,
field,9,no,0,9,들/밭,
excessive,9,no,0,9,지나친/과도한,
Ethan,9,yes,9,0,에단,고유명사 음역/관습 표기 확인
enclose,9,no,0,9,둘러싸다/둘러막다,
Eliphelet,9,yes,9,0,엘리벨렛,고유명사 음역/관습 표기 확인
Elath,9,yes,9,0,엘랏,고유명사 음역/관습 표기 확인
Edrei,9,yes,9,0,에드레이,고유명사 음역/관습 표기 확인
ease,9,no,0,9,안일/편안함,
ears,9,no,0,9,귀/귀들,
earlobe,9,no,0,9,귓불,
dry ground,9,no,0,9,마른 땅,
Dor,9,yes,9,0,돌,고유명사 음역/관습 표기 확인
dominate,9,no,0,9,지배하다/우세하다,
Dinah,9,yes,9,0,디나,고유명사 음역/관습 표기 확인
Delaiah,9,yes,9,0,들라야,고유명사 음역/관습 표기 확인
dedication,9,no,0,9,봉헌/헌납,
dash,9,no,0,9,내던지다/세게 부딪치다,
Cypriot,9,no,0,9,키프로스 사람,
cut grain,9,no,0,9,이삭을 베다,
cut down,9,no,0,9,베어내다/감축하다,
confidence,9,no,0,9,신뢰/확신,
circle,9,no,0,9,원/둘러싸다,
Chemosh,9,yes,9,0,그모스,고유명사 음역/관습 표기 확인
chant elegy,9,no,0,9,애가를 읊다,
chain,9,no,0,9,사슬/쇠사슬,
carve,9,no,0,9,새기다/조각하다,
Carmi,9,yes,9,0,갈미,고유명사 음역/관습 표기 확인
carcass,9,no,0,9,사체/죽은 짐승,
byssus cloth,9,no,0,9,세마포,
Bozrah,9,yes,9,0,보스라,고유명사 음역/관습 표기 확인
blindness,9,no,0,9,실명/눈멀음,
bird of prey,9,no,0,9,맹금,
Bicri,9,yes,9,0,빅리,고유명사 음역/관습 표기 확인
bereaved of children,9,no,0,9,자녀를 잃은,
beloved,9,no,0,9,사랑하는 자,
belittle,9,no,0,9,폄하하다,
be tender,9,no,0,9,부드럽다,
be still,9,no,0,9,고요하다,
be small,9,no,0,9,작다,
be pleasant,9,no,0,9,기쁘다,
be in pain,9,no,0,9,고통받다,
be faint,9,no,0,9,기진하다,
be beautiful,9,no,0,9,아름답다,
Azel,9,yes,9,0,아셀,고유명사 음역/관습 표기 확인
atonement,9,no,0,9,속죄,
Asaiah,9,yes,9,0,아사야,고유명사 음역/관습 표기 확인
Arioch,9,yes,9,0,아리옥,고유명사 음역/관습 표기 확인
apostate,9,no,0,9,배교자,
Akkub,9,yes,9,0,아쿱,고유명사 음역/관습 표기 확인
Agag,9,yes,9,0,아각,고유명사 음역/관습 표기 확인
Adullam,9,yes,9,0,아둘람,고유명사 음역/관습 표기 확인
adornment,9,no,0,9,장식,
adorn,9,no,0,9,장식하다,
Adah,9,yes,9,0,아다,고유명사 음역/관습 표기 확인
a certain,9,no,0,9,어느/어떤,
Zoan,8,yes,8,0,소안,고유명사 음역/관습 표기 확인
Zippor,8,yes,8,0,싯볼,고유명사 음역/관습 표기 확인
Zilpah,8,yes,8,0,실바,고유명사 음역/관습 표기 확인
wolf,8,no,0,8,이리/늑대,
wilderness,8,no,0,8,광야/사막,
what is taken,8,no,0,8,취한 것/빼앗긴 것,
wash away,8,no,0,8,씻어 없애다,
walk straight,8,no,0,8,곧게 걷다/바로 행하다,
voice,8,no,0,8,소리/음성,
vintage,8,no,0,8,포도 수확기/포도 수확,
undertaking,8,no,0,8,사업/책임 맡은 일,
twisted,8,no,0,8,비틀린/꼬인,
trough,8,no,0,8,구유/물통,
troop,8,no,0,8,무리/부대,
trickle,8,no,0,8,졸졸 흐르다/방울져 흐르다,
trampled land,8,no,0,8,밟힌 땅,
Tiglath-Pileser,8,yes,8,0,디글랏빌레셀,고유명사 음역/관습 표기 확인
Tekoite,8,no,0,8,드고아 사람,
Tekoa,8,yes,8,0,드고아,고유명사 음역/관습 표기 확인
teacher,8,no,0,8,교사/선생,
Tappuah,8,yes,8,0,답부아,고유명사 음역/관습 표기 확인
Tahpanhes,8,yes,8,0,다바네스,고유명사 음역/관습 표기 확인
Tahath,8,yes,8,0,다핫,고유명사 음역/관습 표기 확인
Taanach,8,yes,8,0,다아낙,고유명사 음역/관습 표기 확인
sycamore,8,no,0,8,돌무화과나무,
swine,8,no,0,8,돼지,
sweep,8,no,0,8,쓸다/휩쓸다,
sulphur,8,no,0,8,유황,
stylus,8,no,0,8,철필/필침,
stores,8,no,0,8,비축/창고,
storages,8,no,0,8,저장물/비축분,
stop,8,no,0,8,멈추다/중지하다,
stock,8,no,0,8,줄기/재고,
speaker,8,no,0,8,말하는 자/연사,
single hair,8,no,0,8,한 올의 머리카락,
Sin,8,yes,8,0,신,고유명사 음역/관습 표기 확인
Shubael,8,yes,8,0,수바엘,고유명사 음역/관습 표기 확인
shore,8,no,0,8,해안/기슭,
Shishak,8,yes,8,0,시삭,고유명사 음역/관습 표기 확인
Shilonite,8,no,0,8,실로 사람,
Shema,8,yes,8,0,스마,고유명사 음역/관습 표기 확인
Sharon,8,yes,8,0,사론,고유명사 음역/관습 표기 확인
Shammah,8,yes,8,0,삼마,고유명사 음역/관습 표기 확인
secrecy,8,no,0,8,비밀스러움,
scorching,8,no,0,8,작열/타들어감,
rottenness,8,no,0,8,썩음/부패,
root up,8,no,0,8,뿌리째 뽑다,
robber,8,no,0,8,강도/도적,
roaring,8,no,0,8,포효/으르렁거림,
Rekem,8,yes,8,0,레겜,고유명사 음역/관습 표기 확인
Ram,8,yes,8,0,람,고유명사 음역/관습 표기 확인
rags,8,no,0,8,누더기,
Put,8,yes,8,0,붓,고유명사 음역/관습 표기 확인
Puah,8,yes,8,0,푸아,고유명사 음역/관습 표기 확인
profane,8,no,0,8,속되게 하다/세속의,
plague,8,no,0,8,재앙/역병,
pivot,8,no,0,8,회전축/경첩축,
Pelethite,8,no,0,8,블레티 사람,
Peleg,8,yes,8,0,벨렉,고유명사 음역/관습 표기 확인
pay off,8,no,0,8,빚을 갚다/상환하다,
passage,8,no,0,8,통로/구절,
ox,8,no,0,8,수소/황소,
Othniel,8,yes,8,0,옷니엘,고유명사 음역/관습 표기 확인
Oreb,8,yes,8,0,오렙,고유명사 음역/관습 표기 확인
order,8,no,0,8,명령/질서,
Nob,8,yes,8,0,놉,고유명사 음역/관습 표기 확인
mixture,8,no,0,8,혼합물,
missile,8,no,0,8,투척물/미사일,
Midianite,8,no,0,8,미디안 사람,
Mesha,8,yes,8,0,메사,고유명사 음역/관습 표기 확인
Meribah,8,yes,8,0,므리바,고유명사 음역/관습 표기 확인
Meraioth,8,yes,8,0,므라욧,고유명사 음역/관습 표기 확인
memorial offering,8,no,0,8,기념 예물,
Mahalalel,8,yes,8,0,마할랄렐,고유명사 음역/관습 표기 확인
Lotan,8,yes,8,0,로단,고유명사 음역/관습 표기 확인
looseness,8,no,0,8,해이함/느슨함,
loin,8,no,0,8,허리/허리부분,
litter,8,no,0,8,짓무르다/어수선함,
lick,8,no,0,8,핥다,
lamentation,8,no,0,8,애곡/통곡,
Ladan,8,yes,8,0,라단,고유명사 음역/관습 표기 확인
Kiriathaim,8,yes,8,0,기럇다임,고유명사 음역/관습 표기 확인
Kinnereth,8,yes,8,0,긴네렛,고유명사 음역/관습 표기 확인
Judaea,8,yes,8,0,유대(지역),고유명사 음역/관습 표기 확인
Jonadab,8,yes,8,0,요나답,고유명사 음역/관습 표기 확인
Jerimoth,8,yes,8,0,여림못,고유명사 음역/관습 표기 확인
Jered,8,yes,8,0,예렛,고유명사 음역/관습 표기 확인
Jarmuth,8,yes,8,0,얌뭇,고유명사 음역/관습 표기 확인
Jahzah,8,yes,8,0,야사,고유명사 음역/관습 표기 확인
Jabbok,8,yes,8,0,얍복,고유명사 음역/관습 표기 확인
instant,8,no,0,8,순간/즉시,
innocence,8,no,0,8,무죄/순결,
inhibition,8,no,0,8,억제/금지,
howling,8,no,0,8,울부짖음/울부짖다,
Horite,8,no,0,8,호리 사람,
Hodaviah,8,yes,8,0,호다위야,고유명사 음역/관습 표기 확인
Havilah,8,yes,8,0,하윌라,고유명사 음역/관습 표기 확인
hand-mill,8,no,0,8,맷돌,
grumble,8,no,0,8,불평하다/투덜거리다,
Gomer,8,yes,8,0,고멜,고유명사 음역/관습 표기 확인
Girgashite,8,no,0,8,기르가스 사람,
gather grapes,8,no,0,8,포도를 수확하다,
gain,8,no,0,8,이득/얻다,
fox,8,no,0,8,여우,
fleece,8,no,0,8,양털,
finish,8,no,0,8,마치다/끝내다,
filter,8,no,0,8,거르다/여과하다,
farmer,8,no,0,8,농부,
faithful,8,no,0,8,신실한/충실한,
Ezion Geber,8,yes,8,0,에시온게벨,고유명사 음역/관습 표기 확인
exactly,8,no,0,8,정확히/꼭,
Eshtaol,8,yes,8,0,에스다올,고유명사 음역/관습 표기 확인
Enosh,8,yes,8,0,에노스,고유명사 음역/관습 표기 확인
encampment,8,no,0,8,진영/진치기,
Elnathan,8,yes,8,0,엘나단,고유명사 음역/관습 표기 확인
Elizaphan,8,yes,8,0,엘리사반,고유명사 음역/관습 표기 확인
Elioenai,8,yes,8,0,엘요에내,고유명사 음역/관습 표기 확인
draw together,8,no,0,8,모아 끌다,
drain,8,no,0,8,배수하다/물빼다,
distort,8,no,0,8,왜곡하다,
Dishon,8,yes,8,0,디손,고유명사 음역/관습 표기 확인
diseases,8,no,0,8,질병들,
dim,8,no,0,8,흐릿하다/어둑하다,
devastation,8,no,0,8,황폐/폐허,
detest,8,no,0,8,가증히 여기다/싫어하다,
descent,8,no,0,8,하강/내리막,
dark place,8,no,0,8,어두운 곳,
crook,8,no,0,8,갈고리,
contents of stomach,8,no,0,8,위 내용물,
confusion,8,no,0,8,혼란/혼잡,
collection,8,no,0,8,수집/모음,
Carmelite,8,no,0,8,갈멜 사람,
branches,8,no,0,8,가지들,
book,8,no,0,8,책,
blaspheme,8,no,0,8,모독하다,
Beth Aven,8,yes,8,0,벧아웬,고유명사 음역/관습 표기 확인
be stupid,8,no,0,8,어리석다,
be stormy,8,no,0,8,폭풍이 일다,
be serene,8,no,0,8,평온하다,
be missing,8,no,0,8,없다/실종되다,
be mad,8,no,0,8,미치다/광기,
be lame,8,no,0,8,절다,
be great,8,no,0,8,위대하다/커지다,
Basemath,8,yes,8,0,바스맛,고유명사 음역/관습 표기 확인
backwards,8,no,0,8,뒤로/거꾸로,
Azekah,8,yes,8,0,아세가,고유명사 음역/관습 표기 확인
attend to,8,no,0,8,돌보다/유의하다,
ash pit,8,no,0,8,재 구덩이,
Amos,8,yes,8,0,아모스,고유명사 음역/관습 표기 확인
Ahinoam,8,yes,8,0,아히노암,고유명사 음역/관습 표기 확인
advantage,8,no,0,8,이익/유익,
Acbor,8,yes,8,0,악볼,고유명사 음역/관습 표기 확인
Abihail,8,yes,8,0,아비하일,고유명사 음역/관습 표기 확인
Abiezer,8,yes,8,0,아비에셀,고유명사 음역/관습 표기 확인
<wife of Esau>,8,yes,8,0,<에서의 아내>,고유명사 음역/관습 표기 확인
<son of Gilead>,8,yes,8,0,<길르앗의 아들>,고유명사 음역/관습 표기 확인
<oracle device>,8,no,0,8,제의 도구,
<king>,8,yes,8,0,<왕>,고유명사 음역/관습 표기 확인
Zerahite,7,no,0,7,세라 자손,
Zeeb,7,yes,7,0,세엡,고유명사 음역/관습 표기 확인
Zebul,7,yes,7,0,스불,고유명사 음역/관습 표기 확인
Zanoah,7,yes,7,0,사노아,고유명사 음역/관습 표기 확인
Zabdi,7,yes,7,0,삽디,고유명사 음역/관습 표기 확인
young one,7,no,0,7,새끼/어린 것,
wine-press,7,no,0,7,포도즙 틀,
widowhood,7,no,0,7,과부됨/과부 상태,
wide place,7,no,0,7,넓은 곳,
what is robbed,7,no,0,7,빼앗긴 것,
vinegar,7,no,0,7,초/식초,
Ur,7,yes,7,0,우르,고유명사 음역/관습 표기 확인
unwell,7,no,0,7,아픈/병든,
twins,7,no,0,7,쌍둥이,
treasurer,7,no,0,7,재무관/궁내 재정관,
Tola,7,yes,7,0,돌라,고유명사 음역/관습 표기 확인
Tishbite,7,no,0,7,디스비 사람,
Timna,7,yes,7,0,딤나,고유명사 음역/관습 표기 확인
thorny bush,7,no,0,7,가시덤불,
Thebes,7,yes,7,0,테벳스,고유명사 음역/관습 표기 확인
terrace,7,no,0,7,층단/테라스,
Talmai,7,yes,7,0,달매,고유명사 음역/관습 표기 확인
take refuge,7,no,0,7,피하다/피난하다,
take delight,7,no,0,7,기뻐하다/즐거워하다,
sustenance,7,no,0,7,양식/생계유지,
steering,7,no,0,7,조타/조종,
speechless,7,no,0,7,말 못하는/벙어리의,
sound clarion,7,no,0,7,나팔을 불다,
sorcery,7,no,0,7,주술/마술,
snuffers,7,no,0,7,불집게/등불 집게,
sling,7,no,0,7,물매/투석줄,
slanderer,7,no,0,7,중상자/비방자,
skin-bottle,7,no,0,7,가죽부대,
Shur,7,yes,7,0,술,고유명사 음역/관습 표기 확인
Shimron,7,yes,7,0,심론,고유명사 음역/관습 표기 확인
Shammai,7,yes,7,0,삼매,고유명사 음역/관습 표기 확인
